E.T.,Katy Perry,152,87,62,-5,37,76,230,2,18
Till the World Ends,Britney Spears,132,71,69,-6,20,45,238,2,7
I Wanna Go,Britney Spears,130,55,70,-7,33,79,210,0,4
Blow,Kesha,120,73,75,-4,7,81,220,0,4
You And I,Lady Gaga,127,70,52,-5,9,52,307,9,5
Judas,Lady Gaga,131,93,66,-4,27,53,249,0,7
Tonight (I'm Fuckin' You),Enrique Iglesias,126,89,65,-4,12,32,232,3,5
Please Don't Go,Mike Posner,120,88,70,-4,13,66,197,0,3
We Found Love,Rihanna,128,77,73,-4,11,60,215,3,4
Marry The Night,Lady Gaga,131,88,61,-4,46,38,265,0,6
1+1,Beyonce,63,38,30,-7,7,26,274,38,3
Hold It Against Me,Britney Spears,133,72,65,-5,24,39,229,1,4
I'm Into You,Jennifer Lopez,84,75,59,-4,8,70,200,2,14
Papi,Jennifer Lopez,120,81,71,-5,37,89,223,13,6
Cheers (Drink To That),Rihanna,80,91,58,-4,29,73,262,2,4
S&M Remix,Rihanna,128,81,82,-3,5,89,257,5,5
Written in the Stars (feat. Eric Turner),Tinie Tempah,91,95,64,-4,18,57,220,6,7
Jar of Hearts,Christina Perri,75,35,35,-6,12,9,247,73,3
Castle Walls (feat. Christina Aguilera),T.I.,80,86,45,-5,26,58,329,7,39
Turning Page,Sleeping At Last,125,38,30,-8,11,19,255,91,3
Super Bass,Nicki Minaj,127,74,77,-7,40,59,201,6,23
Raise Your Glass,P!nk,122,64,68,-7,12,56,208,0,12
Invading My Mind,Jennifer Lopez,129,88,73,-4,32,69,201,2,7
Moment 4 Life - Album Version (Edited),Nicki Minaj,130,88,50,-4,22,37,279,39,38
Last Friday Night (T.G.I.F.),Katy Perry,126,81,65,-4,67,72,231,0,4
Firework,Katy Perry,124,83,64,-5,11,65,228,14,5
Muny - Album Version (Edited),Nicki Minaj,98,72,80,-5,19,53,227,56,33
Titanium (feat. Sia),David Guetta,126,79,60,-4,13,30,245,7,10
Locked Out of Heaven,Bruno Mars,144,70,73,-4,31,87,233,5,4
Paradise,Coldplay,140,59,45,-7,8,20,279,5,3
Payphone,Maroon 5,110,75,74,-5,29,55,231,2,4
What Makes You Beautiful,One Direction,125,79,73,-2,6,89,200,1,7
I Knew You Were Trouble.,Taylor Swift,77,47,62,-7,3,68,220,0,4
Call Me Maybe,Carly Rae Jepsen,120,58,78,-7,11,66,193,1,4
Love You Like A Love Song,Selena Gomez & The Scene,117,68,86,-4,7,92,188,8,5
Set Fire to the Rain,Adele,108,68,61,-4,13,47,242,0,3
We Are Never Ever Getting Back Together,Taylor Swift,86,68,63,-6,12,75,193,1,9
Stronger (What Doesn't Kill You),Kelly Clarkson,116,94,56,-4,11,68,222,5,5
Try,P!nk,104,63,67,-7,9,55,248,0,3
Starships,Nicki Minaj,125,72,75,-2,25,75,211,14,8
One More Night,Maroon 5,93,82,72,-3,8,62,220,6,3
Good Time,Owl City,126,87,56,-4,37,68,206,2,14
Glad You Came,The Wanted,127,85,72,-4,11,45,198,3,6
Beauty And A Beat,Justin Bieber,128,84,60,-5,7,53,228,0,6
International Love,Pitbull,120,86,67,-3,34,65,227,1,5
Some Nights,fun.,108,74,67,-7,9,39,277,2,5
Boyfriend,Justin Bieber,97,55,72,-6,13,33,171,4,5
Part Of Me,Katy Perry,130,92,68,-5,7,77,216,0,4
Domino,Jessie J,127,55,76,-5,4,78,232,1,3
Where Have You Been,Rihanna,128,85,72,-6,22,44,243,0,9
Wide Awake,Katy Perry,160,68,51,-5,39,57,221,7,4
The One That Got Away,Katy Perry,134,80,69,-4,16,88,227,0,4
Dance Again,Jennifer Lopez,128,86,79,-5,10,71,237,2,7
Turn Up the Music,Chris Brown,130,84,59,-6,16,64,228,0,10
Lights - Single Version,Ellie Goulding,120,80,68,-6,13,78,211,3,4
We Are Young (feat. Janelle Mon醗),fun.,184,64,38,-6,8,74,251,2,8
Diamonds,Rihanna,92,71,56,-5,11,39,225,0,5
Don't Stop the Party (feat. TJR),Pitbull,127,96,72,-4,38,95,206,1,9
You Da One,Rihanna,127,72,70,-5,13,86,200,50,4
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,90,80,65,-3,27,80,211,3,10
It Will Rain,Bruno Mars,150,84,58,-7,8,48,258,34,5
Blow Me (One Last Kiss),P!nk,114,92,60,-3,25,75,256,0,4
Underneath the Tree,Kelly Clarkson,160,81,51,-5,21,69,230,0,5
Wake Me Up,Avicii,124,78,53,-6,16,64,247,0,5
Story of My Life,One Direction,121,66,60,-6,12,29,245,23,5
Just Give Me a Reason (feat. Nate Ruess),P!nk,95,55,78,-7,13,44,243,35,5
Hall of Fame,The Script,85,87,42,-4,12,63,203,7,6
Roar,Katy Perry,180,77,55,-5,35,46,224,0,4
We Can't Stop,Miley Cyrus,80,62,61,-6,37,48,231,1,3
Don't You Worry Child - Radio Edit,Swedish House Mafia,129,84,61,-3,12,44,213,11,5
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,116,81,79,-9,10,86,248,4,4
Wrecking Ball,Miley Cyrus,120,42,53,-6,11,35,221,41,3
